"['#Date/Time of Update: 2020-03-09 18:02:22 GMT', '#Game ID', '#Game Date', '#Game Time', '#Schedule Status', '#Played Status', '#Current Inning', '#Current Inning Half', '#Current Intermission', '#Away Team ID', '#Away Team Abbr.', '#Away Team City', '#Away Team Name', '#Home Team ID', '#Home Team Abbr.', '#Home Team City', '#Home Team Name', '#Venue ID', '#Venue Name', '#Away Score Total', '#Home Score Total', '#Inning 1 Away Score', '#Inning 1 Home Score', '#Inning 2 Away Score', '#Inning 2 Home Score', '#Inning 3 Away Score', '#Inning 3 Home Score', '#Inning 4 Away Score', '#Inning 4 Home Score', '#Inning 5 Away Score', '#Inning 5 Home Score', '#Inning 6 Away Score', '#Inning 6 Home Score', '#Inning 7 Away Score', '#Inning 7 Home Score', '#Inning 8 Away Score', '#Inning 8 Home Score', '#Inning 9 Away Score', '#Inning 9 Home Score', '#Inning 10 Away Score', '#Inning 10 Home Score', '#Inning 11 Away Score', '#Inning 11 Home Score', '#Inning 12 Away Score', '#Inning 12 Home Score', '#Inning 13 Away Score', '#Inning 13 Home Score', '#Inning 14 Away Score', '#Inning 14 Home Score', '#Inning 15 Away Score', '#Inning 15 Home Score', '#Inning 16 Away Score', '#Inning 16 Home Score', '#Inning 17 Away Score', '#Inning 17 Home Score']"
"['', '43440', '2018-03-29', '02:10:00 GMT', 'NORMAL', 'COMPLETED', '', '', '', '116', 'CLE', 'Cleveland', 'Indians', '123', 'SEA', 'Seattle', 'Mariners', '128', 'Safeco Field', '1', '2', '0', '2', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
"['', '43441', '2018-03-29', '02:10:00 GMT', 'NORMAL', 'COMPLETED', '', '', '', '138', 'COL', 'Colorado', 'Rockies', '140', 'ARI', 'Arizona', 'Diamondbacks', '108', 'Chase Field', '2', '8', '1', '3', '0', '0', '0', '0', '0', '0', '0', '0', '1', '3', '0', '2', '0', '0', '0', '0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
"['', '43428', '2018-03-30', '17:10:00 GMT', 'POSTPONED', 'COMPLETED', '', '', '', '132', 'PIT', 'Pittsburgh', 'Pirates', '117', 'DET', 'Detroit', 'Tigers', '111', 'Comerica Park', '13', '10', '0', '0', '0', '2', '0', '0', '3', '0', '0', '0', '1', '0', '0', '4', '2', '0', '4', '4', '0', '0', '0', '0', '0', '0', '3', '0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
"['', '43437', '2018-03-30', '20:10:00 GMT', 'POSTPONED', 'COMPLETED', '', '', '', '126', 'WAS', 'Washington', 'Nationals', '135', 'CIN', 'Cincinnati', 'Reds', '116', 'Great American Ball Park', '2', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
"['', '43442', '2018-03-30', '23:07:00 GMT', 'NORMAL', 'COMPLETED', '', '', '', '114', 'NYY', 'New York', 'Yankees', '112', 'TOR', 'Toronto', 'Blue Jays', '127', 'Rogers Centre', '4', '2', '0', '0', '1', '1', '0', '0', '1', '0', '0', '0', '2', '0', '0', '0', '0', '0', '0', '1', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
"['', '43443', '2018-03-30', '23:10:00 GMT', 'NORMAL', 'COMPLETED', '', '', '', '113', 'BOS', 'Boston', 'Red Sox', '115', 'TB', 'Tampa Bay', 'Rays', '130', 'Tropicana Field', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
"['', '43444', '2018-03-30', '23:10:00 GMT', 'NORMAL', 'COMPLETED', '', '', '', '131', 'CHC', 'Chicago', 'Cubs', '128', 'MIA', 'Miami', 'Marlins', '118', 'Marlins Park', '1', '2', '0', '0', '0', '0', '1', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1']"
"['', '43445', '2018-03-30', '23:35:00 GMT', 'NORMAL', 'COMPLETED', '', '', '', '129', 'PHI', 'Philadelphia', 'Phillies', '130', 'ATL', 'Atlanta', 'Braves', '136', 'SunTrust Park', '5', '4', '0', '0', '1', '0', '1', '2', '0', '1', '1', '0', '1', '0', '0', '0', '0', '1', '0', '0', '0', '0', '1', '0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
"['', '43446', '2018-03-30', '00:05:00 GMT', 'NORMAL', 'COMPLETED', '', '', '', '122', 'HOU', 'Houston', 'Astros', '121', 'TEX', 'Texas', 'Rangers', '115', 'Globe Life Park in Arlington', '1', '5', '0', '0', '0', '1', '0', '0', '0', '2', '1', '0', '0', '0', '0', '2', '0', '0', '0', '0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
"['', '43447', '2018-03-30', '01:40:00 GMT', 'NORMAL', 'COMPLETED', '', '', '', '138', 'COL', 'Colorado', 'Rockies', '140', 'ARI', 'Arizona', 'Diamondbacks', '108', 'Chase Field', '8', '9', '0', '5', '2', '0', '0', '2', '5', '0', '0', '2', '0', '0', '1', '0', '0', '0', '0', '0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
