"['#Date/Time of Update: 2020-03-10 12:22:17 GMT', '#Game ID', '#Game Date', '#Game Time', '#Schedule Status', '#Played Status', '#Current Inning', '#Current Inning Half', '#Current Intermission', '#Away Team ID', '#Away Team Abbr.', '#Away Team City', '#Away Team Name', '#Home Team ID', '#Home Team Abbr.', '#Home Team City', '#Home Team Name', '#Venue ID', '#Venue Name', '#Away Score Total', '#Home Score Total', '#Inning 1 Away Score', '#Inning 1 Home Score', '#Inning 2 Away Score', '#Inning 2 Home Score', '#Inning 3 Away Score', '#Inning 3 Home Score', '#Inning 4 Away Score', '#Inning 4 Home Score', '#Inning 5 Away Score', '#Inning 5 Home Score', '#Inning 6 Away Score', '#Inning 6 Home Score', '#Inning 7 Away Score', '#Inning 7 Home Score', '#Inning 8 Away Score', '#Inning 8 Home Score', '#Inning 9 Away Score', '#Inning 9 Home Score', '#Inning 10 Away Score', '#Inning 10 Home Score', '#Inning 11 Away Score', '#Inning 11 Home Score', '#Inning 12 Away Score', '#Inning 12 Home Score', '#Inning 13 Away Score', '#Inning 13 Home Score', '#Inning 14 Away Score', '#Inning 14 Home Score', '#Inning 15 Away Score', '#Inning 15 Home Score', '#Inning 16 Away Score', '#Inning 16 Home Score', '#Inning 17 Away Score', '#Inning 17 Home Score', '#Inning 18 Away Score', '#Inning 18 Home Score', '#Inning 19 Away Score', '#Inning 19 Home Score']"
"['', '50780', '2019-05-05', '19:05:00 GMT', 'NORMAL', 'COMPLETED', '', '', '', '112', 'TOR', 'Toronto', 'Blue Jays', '121', 'TEX', 'Texas', 'Rangers', '115', 'Globe Life Park in Arlington', '2', '10', '0', '0', '0', '3', '1', '3', '0', '1', '0', '1', '0', '2', '1', '0', '0', '0', '0', '0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
"['', '50770', '2019-05-05', '19:10:00 GMT', 'NORMAL', 'COMPLETED', '', '', '', '140', 'ARI', 'Arizona', 'Diamondbacks', '138', 'COL', 'Colorado', 'Rockies', '112', 'Coors Field', '7', '8', '0', '1', '1', '0', '2', '0', '0', '0', '0', '2', '2', '0', '0', '0', '2', '5', '0', '0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
"['', '50777', '2019-05-05', '20:05:00 GMT', 'NORMAL', 'COMPLETED', '', '', '', '120', 'MIN', 'Minnesota', 'Twins', '114', 'NYY', 'New York', 'Yankees', '134', 'Yankee Stadium', '1', '4', '0', '0', '0', '2', '0', '0', '1', '2', '0', '0', '0', '0', '0', '0', '0', '0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
"['', '50767', '2019-05-05', '20:10:00 GMT', 'NORMAL', 'COMPLETED', '', '', '', '137', 'LAD', 'Los Angeles', 'Dodgers', '139', 'SD', 'San Diego', 'Padres', '124', 'Petco Park', '5', '8', '0', '1', '0', '1', '0', '0', '0', '2', '3', '0', '0', '0', '0', '0', '2', '0', '0', '4', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
"['', '50768', '2019-05-05', '20:10:00 GMT', 'NORMAL', 'COMPLETED', '', '', '', '136', 'SF', 'San Francisco', 'Giants', '135', 'CIN', 'Cincinnati', 'Reds', '116', 'Great American Ball Park', '6', '5', '0', '4', '0', '0', '0', '0', '0', '0', '0', '0', '4', '0', '0', '0', '0', '0', '2', '1', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
"['', '50769', '2019-05-05', '20:10:00 GMT', 'NORMAL', 'COMPLETED', '', '', '', '122', 'HOU', 'Houston', 'Astros', '124', 'LAA', 'Los Angeles', 'Angels', '105', 'Angel Stadium', '10', '4', '0', '1', '2', '2', '0', '0', '0', '0', '4', '0', '0', '0', '0', '1', '1', '0', '3', '0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
"['', '50766', '2019-05-05', '23:05:00 GMT', 'NORMAL', 'COMPLETED', '', '', '', '133', 'STL', 'St. Louis', 'Cardinals', '131', 'CHC', 'Chicago', 'Cubs', '133', 'Wrigley Field', '5', '13', '0', '0', '0', '1', '0', '0', '0', '0', '0', '2', '2', '3', '0', '1', '0', '6', '3', '0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
"['', '50761', '2019-05-06', '16:35:00 GMT', 'NORMAL', 'COMPLETED', '', '', '', '136', 'SF', 'San Francisco', 'Giants', '135', 'CIN', 'Cincinnati', 'Reds', '116', 'Great American Ball Park', '4', '12', '0', '5', '1', '2', '0', '0', '0', '0', '0', '0', '3', '5', '0', '0', '0', '0', '0', '0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
"['', '50764', '2019-05-06', '22:10:00 GMT', 'NORMAL', 'COMPLETED', '', '', '', '119', 'CWS', 'Chicago', 'White Sox', '116', 'CLE', 'Cleveland', 'Indians', '126', 'Progressive Field', '9', '1', '2', '0', '0', '0', '1', '0', '1', '0', '1', '1', '3', '0', '0', '0', '1', '0', '0', '0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
"['', '50760', '2019-05-06', '22:35:00 GMT', 'NORMAL', 'COMPLETED', '', '', '', '123', 'SEA', 'Seattle', 'Mariners', '114', 'NYY', 'New York', 'Yankees', '134', 'Yankee Stadium', '3', '7', '0', '2', '0', '4', '0', '1', '2', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
"['', '50759', '2019-05-06', '23:05:00 GMT', 'NORMAL', 'COMPLETED', '', '', '', '113', 'BOS', 'Boston', 'Red Sox', '111', 'BAL', 'Baltimore', 'Orioles', '123', 'Oriole Park at Camden Yards', '1', '4', '0', '0', '0', '4', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
"['', '50758', '2019-05-06', '23:07:00 GMT', 'NORMAL', 'COMPLETED', '', '', '', '120', 'MIN', 'Minnesota', 'Twins', '112', 'TOR', 'Toronto', 'Blue Jays', '127', 'Rogers Centre', '8', '0', '1', '0', '2', '0', '0', '0', '2', '0', '1', '0', '0', '0', '1', '0', '0', '0', '1', '0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
"['', '50765', '2019-05-06', '23:10:00 GMT', 'NORMAL', 'COMPLETED', '', '', '', '140', 'ARI', 'Arizona', 'Diamondbacks', '115', 'TB', 'Tampa Bay', 'Rays', '130', 'Tropicana Field', '1', '12', '0', '1', '0', '5', '0', '1', '0', '0', '0', '0', '0', '0', '0', '3', '0', '2', '1', '0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
"['', '50757', '2019-05-06', '23:40:00 GMT', 'NORMAL', 'COMPLETED', '', '', '', '126', 'WAS', 'Washington', 'Nationals', '134', 'MIL', 'Milwaukee', 'Brewers', '119', 'Miller Park', '3', '5', '2', '1', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '1', '2', '0', '1', '0', '0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
"['', '50755', '2019-05-06', '00:05:00 GMT', 'NORMAL', 'COMPLETED', '', '', '', '129', 'PHI', 'Philadelphia', 'Phillies', '133', 'STL', 'St. Louis', 'Cardinals', '107', 'Busch Stadium', '0', '6', '0', '0', '0', '0', '0', '0', '0', '2', '0', '4', '0', '0', '0', '0', '0', '0', '0', '0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
"['', '50756', '2019-05-06', '00:05:00 GMT', 'NORMAL', 'COMPLETED', '', '', '', '128', 'MIA', 'Miami', 'Marlins', '131', 'CHC', 'Chicago', 'Cubs', '133', 'Wrigley Field', '6', '5', '0', '3', '0', '0', '2', '0', '0', '0', '0', '0', '1', '1', '0', '0', '0', '0', '3', '1', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
"['', '50763', '2019-05-06', '00:10:00 GMT', 'NORMAL', 'COMPLETED', '', '', '', '118', 'KC', 'Kansas City', 'Royals', '122', 'HOU', 'Houston', 'Astros', '120', 'Minute Maid Park', '4', '6', '0', '1', '0', '1', '0', '1', '2', '0', '2', '0', '0', '2', '0', '0', '0', '1', '0', '0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
"['', '50754', '2019-05-06', '02:10:00 GMT', 'NORMAL', 'COMPLETED', '', '', '', '127', 'NYM', 'New York', 'Mets', '139', 'SD', 'San Diego', 'Padres', '124', 'Petco Park', '0', '4', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '1', '0', '2', '0', '0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
"['', '50762', '2019-05-06', '02:10:00 GMT', 'NORMAL', 'COMPLETED', '', '', '', '130', 'ATL', 'Atlanta', 'Braves', '137', 'LAD', 'Los Angeles', 'Dodgers', '113', 'Dodger Stadium', '3', '5', '0', '1', '0', '1', '0', '2', '0', '0', '0', '1', '2', '0', '1', '0', '0', '0', '0', '0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
"['', '50752', '2019-05-07', '22:10:00 GMT', 'NORMAL', 'COMPLETED', '', '', '', '119', 'CWS', 'Chicago', 'White Sox', '116', 'CLE', 'Cleveland', 'Indians', '126', 'Progressive Field', '2', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
"['', '50749', '2019-05-07', '22:35:00 GMT', 'NORMAL', 'COMPLETED', '', '', '', '123', 'SEA', 'Seattle', 'Mariners', '114', 'NYY', 'New York', 'Yankees', '134', 'Yankee Stadium', '4', '5', '0', '0', '1', '0', '0', '1', '0', '0', '0', '0', '1', '0', '0', '0', '2', '1', '0', '3', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
"['', '50747', '2019-05-07', '23:05:00 GMT', 'NORMAL', 'COMPLETED', '', '', '', '113', 'BOS', 'Boston', 'Red Sox', '111', 'BAL', 'Baltimore', 'Orioles', '123', 'Oriole Park at Camden Yards', '8', '5', '2', '2', '0', '0', '0', '0', '1', '1', '3', '0', '0', '0', '0', '0', '0', '2', '2', '0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
"['', '50748', '2019-05-07', '23:05:00 GMT', 'NORMAL', 'COMPLETED', '', '', '', '121', 'TEX', 'Texas', 'Rangers', '132', 'PIT', 'Pittsburgh', 'Pirates', '125', 'PNC Park', '4', '5', '0', '0', '0', '0', '0', '1', '2', '2', '0', '2', '0', '0', '2', '0', '0', '0', '0', '0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
"['', '50746', '2019-05-07', '23:07:00 GMT', 'NORMAL', 'COMPLETED', '', '', '', '120', 'MIN', 'Minnesota', 'Twins', '112', 'TOR', 'Toronto', 'Blue Jays', '127', 'Rogers Centre', '3', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '2', '0', '0', '0', '0', '0', '0', '0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
"['', '50745', '2019-05-07', '23:10:00 GMT', 'NORMAL', 'COMPLETED', '', '', '', '124', 'LAA', 'Los Angeles', 'Angels', '117', 'DET', 'Detroit', 'Tigers', '111', 'Comerica Park', '5', '2', '0', '0', '0', '0', '3', '0', '0', '0', '0', '0', '1', '2', '0', '0', '0', '0', '1', '0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
"['', '50753', '2019-05-07', '23:10:00 GMT', 'NORMAL', 'COMPLETED', '', '', '', '140', 'ARI', 'Arizona', 'Diamondbacks', '115', 'TB', 'Tampa Bay', 'Rays', '130', 'Tropicana Field', '3', '6', '0', '1', '0', '0', '0', '0', '1', '1', '0', '0', '0', '0', '0', '3', '0', '1', '2', '0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
"['', '50744', '2019-05-07', '23:40:00 GMT', 'NORMAL', 'COMPLETED', '', '', '', '126', 'WAS', 'Washington', 'Nationals', '134', 'MIL', 'Milwaukee', 'Brewers', '119', 'Miller Park', '0', '6', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '6', '0', '0', '0', '0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
"['', '50743', '2019-05-07', '23:45:00 GMT', 'NORMAL', 'COMPLETED', '', '', '', '129', 'PHI', 'Philadelphia', 'Phillies', '133', 'STL', 'St. Louis', 'Cardinals', '107', 'Busch Stadium', '11', '1', '0', '0', '6', '0', '0', '0', '0', '0', '2', '0', '0', '1', '2', '0', '0', '0', '1', '0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
"['', '50742', '2019-05-07', '00:05:00 GMT', 'NORMAL', 'COMPLETED', '', '', '', '128', 'MIA', 'Miami', 'Marlins', '131', 'CHC', 'Chicago', 'Cubs', '133', 'Wrigley Field', '2', '5', '0', '1', '0', '0', '2', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '3', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
"['', '50750', '2019-05-07', '00:10:00 GMT', 'NORMAL', 'COMPLETED', '', '', '', '118', 'KC', 'Kansas City', 'Royals', '122', 'HOU', 'Houston', 'Astros', '120', 'Minute Maid Park', '12', '2', '0', '0', '1', '0', '5', '0', '2', '0', '0', '0', '0', '1', '4', '1', '0', '0', '0', '0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
"['', '50741', '2019-05-07', '00:40:00 GMT', 'NORMAL', 'COMPLETED', '', '', '', '136', 'SF', 'San Francisco', 'Giants', '138', 'COL', 'Colorado', 'Rockies', '112', 'Coors Field', '14', '4', '0', '1', '1', '0', '0', '0', '5', '1', '1', '1', '0', '0', '0', '0', '2', '1', '5', '0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
"['', '50740', '2019-05-07', '02:07:00 GMT', 'NORMAL', 'COMPLETED', '', '', '', '135', 'CIN', 'Cincinnati', 'Reds', '125', 'OAK', 'Oakland', 'Athletics', '64', 'RingCentral Coliseum', '0', '2', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
"['', '50739', '2019-05-07', '02:10:00 GMT', 'NORMAL', 'COMPLETED', '', '', '', '127', 'NYM', 'New York', 'Mets', '139', 'SD', 'San Diego', 'Padres', '124', 'Petco Park', '7', '6', '2', '1', '0', '0', '0', '1', '0', '2', '0', '0', '0', '1', '3', '0', '0', '0', '2', '1', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
"['', '50751', '2019-05-07', '02:10:00 GMT', 'NORMAL', 'COMPLETED', '', '', '', '130', 'ATL', 'Atlanta', 'Braves', '137', 'LAD', 'Los Angeles', 'Dodgers', '113', 'Dodger Stadium', '0', '9', '0', '3', '0', '1', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '4', '0', '0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
"['', '50734', '2019-05-08', '16:35:00 GMT', 'NORMAL', 'COMPLETED', '', '', '', '121', 'TEX', 'Texas', 'Rangers', '132', 'PIT', 'Pittsburgh', 'Pirates', '125', 'PNC Park', '9', '6', '0', '0', '0', '0', '2', '0', '0', '2', '0', '2', '0', '2', '0', '0', '4', '0', '3', '0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
"['', '50733', '2019-05-08', '17:10:00 GMT', 'NORMAL', 'COMPLETED', '', '', '', '126', 'WAS', 'Washington', 'Nationals', '134', 'MIL', 'Milwaukee', 'Brewers', '119', 'Miller Park', '3', '7', '0', '4', '0', '2', '0', '0', '0', '0', '0', '1', '1', '0', '2', '0', '0', '0', '0', '0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
"['', '50738', '2019-05-08', '17:10:00 GMT', 'NORMAL', 'COMPLETED', '', '', '', '140', 'ARI', 'Arizona', 'Diamondbacks', '115', 'TB', 'Tampa Bay', 'Rays', '130', 'Tropicana Field', '3', '2', '1', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '1', '0', '0', '0', '0', '0', '0', '1', '0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
"['', '50732', '2019-05-08', '17:15:00 GMT', 'NORMAL', 'COMPLETED', '', '', '', '129', 'PHI', 'Philadelphia', 'Phillies', '133', 'STL', 'St. Louis', 'Cardinals', '107', 'Busch Stadium', '5', '0', '0', '0', '0', '0', '0', '0', '0', '0', '4', '0', '0', '0', '1', '0', '0', '0', '0', '0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
"['', '50731', '2019-05-08', '19:40:00 GMT', 'NORMAL', 'COMPLETED', '', '', '', '127', 'NYM', 'New York', 'Mets', '139', 'SD', 'San Diego', 'Padres', '124', 'Petco Park', '2', '3', '1', '0', '1', '1', '0', '1', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
"['', '50737', '2019-05-08', '22:10:00 GMT', 'NORMAL', 'COMPLETED', '', '', '', '119', 'CWS', 'Chicago', 'White Sox', '116', 'CLE', 'Cleveland', 'Indians', '126', 'Progressive Field', '3', '5', '0', '0', '0', '0', '1', '0', '0', '3', '0', '0', '0', '0', '2', '0', '0', '0', '0', '2', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
"['', '50730', '2019-05-08', '22:35:00 GMT', 'NORMAL', 'COMPLETED', '', '', '', '123', 'SEA', 'Seattle', 'Mariners', '114', 'NYY', 'New York', 'Yankees', '134', 'Yankee Stadium', '10', '1', '1', '0', '0', '0', '1', '0', '2', '0', '1', '0', '0', '1', '0', '0', '2', '0', '3', '0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
"['', '50729', '2019-05-08', '23:05:00 GMT', 'NORMAL', 'COMPLETED', '', '', '', '113', 'BOS', 'Boston', 'Red Sox', '111', 'BAL', 'Baltimore', 'Orioles', '123', 'Oriole Park at Camden Yards', '2', '1', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
"['', '50728', '2019-05-08', '23:07:00 GMT', 'NORMAL', 'COMPLETED', '', '', '', '120', 'MIN', 'Minnesota', 'Twins', '112', 'TOR', 'Toronto', 'Blue Jays', '127', 'Rogers Centre', '9', '1', '1', '0', '2', '0', '4', '0', '0', '0', '0', '1', '2', '0', '0', '0', '0', '0', '0', '0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
"['', '50727', '2019-05-08', '23:10:00 GMT', 'NORMAL', 'COMPLETED', '', '', '', '124', 'LAA', 'Los Angeles', 'Angels', '117', 'DET', 'Detroit', 'Tigers', '111', 'Comerica Park', '3', '10', '1', '2', '0', '0', '0', '2', '0', '0', '0', '4', '0', '0', '1', '0', '0', '2', '1', '0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
"['', '50726', '2019-05-08', '00:05:00 GMT', 'NORMAL', 'COMPLETED', '', '', '', '128', 'MIA', 'Miami', 'Marlins', '131', 'CHC', 'Chicago', 'Cubs', '133', 'Wrigley Field', '2', '3', '1', '0', '0', '0', '0', '0', '0', '2', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '1', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
"['', '50735', '2019-05-08', '00:10:00 GMT', 'NORMAL', 'COMPLETED', '', '', '', '118', 'KC', 'Kansas City', 'Royals', '122', 'HOU', 'Houston', 'Astros', '120', 'Minute Maid Park', '0', '9', '0', '1', '0', '0', '0', '5', '0', '1', '0', '2', '0', '0', '0', '0', '0', '0', '0', '0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
"['', '50724', '2019-05-08', '02:07:00 GMT', 'NORMAL', 'COMPLETED', '', '', '', '135', 'CIN', 'Cincinnati', 'Reds', '125', 'OAK', 'Oakland', 'Athletics', '64', 'RingCentral Coliseum', '4', '5', '0', '2', '4', '0', '0', '0', '0', '0', '0', '2', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '1', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
"['', '50736', '2019-05-08', '02:10:00 GMT', 'NORMAL', 'COMPLETED', '', '', '', '130', 'ATL', 'Atlanta', 'Braves', '137', 'LAD', 'Los Angeles', 'Dodgers', '113', 'Dodger Stadium', '4', '9', '0', '0', '0', '2', '0', '1', '2', '0', '0', '2', '0', '0', '2', '2', '0', '2', '0', '0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
"['', '50720', '2019-05-09', '17:10:00 GMT', 'NORMAL', 'COMPLETED', '', '', '', '124', 'LAA', 'Los Angeles', 'Angels', '117', 'DET', 'Detroit', 'Tigers', '111', 'Comerica Park', '13', '0', '2', '0', '3', '0', '1', '0', '0', '0', '0', '0', '1', '0', '2', '0', '3', '0', '1', '0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
"['', '50723', '2019-05-09', '17:10:00 GMT', 'NORMAL', 'COMPLETED', '', '', '', '119', 'CWS', 'Chicago', 'White Sox', '116', 'CLE', 'Cleveland', 'Indians', '126', 'Progressive Field', '0', '5', '0', '0', '0', '2', '0', '0', '0', '0', '0', '3', '0', '0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
"['', '50719', '2019-05-09', '18:20:00 GMT', 'NORMAL', 'COMPLETED', '', '', '', '128', 'MIA', 'Miami', 'Marlins', '131', 'CHC', 'Chicago', 'Cubs', '133', 'Wrigley Field', '1', '4', '0', '2', '0', '0', '0', '0', '1', '0', '0', '2', '0', '0', '0', '0', '0', '0', '0', '0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
"['', '50718', '2019-05-09', '19:10:00 GMT', 'NORMAL', 'COMPLETED', '', '', '', '136', 'SF', 'San Francisco', 'Giants', '138', 'COL', 'Colorado', 'Rockies', '112', 'Coors Field', '11', '12', '0', '3', '0', '4', '2', '0', '3', '0', '0', '1', '3', '3', '0', '0', '1', '1', '2', '0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
"['', '50717', '2019-05-09', '19:37:00 GMT', 'NORMAL', 'COMPLETED', '', '', '', '135', 'CIN', 'Cincinnati', 'Reds', '125', 'OAK', 'Oakland', 'Athletics', '64', 'RingCentral Coliseum', '3', '0', '2', '0', '0', '0', '1', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']"
