,Game Date,Game Time,Away Team Abbr.,Away Team Name,Home Team Abbr.,Home Team Name,Away Score Total,Home Score Total,,Team Abbr.,Stadium Latitude,Stadium Longitude,ÆTime | EST = 0
60,4/9/16,17:07:00 GMT,BOS,Red Sox,TOR,Blue Jays,8,4,,,,,
61,4/9/16,17:10:00 GMT,PIT,Pirates,CIN,Reds,1,5,,,,,
62,4/9/16,17:10:00 GMT,NYY,Yankees,DET,Tigers,8,4,,,,,
63,4/9/16,18:10:00 GMT,CLE,Indians,CWS,White Sox,3,7,,,,,
64,4/9/16,20:05:00 GMT,LAD,Dodgers,SF,Giants,3,2,,,,,
65,4/9/16,23:10:00 GMT,HOU,Astros,MIL,Brewers,6,4,,,,,
66,4/9/16,23:10:00 GMT,PHI,Phillies,NYM,Mets,1,0,,,,,
67,4/9/16,23:10:00 GMT,STL,Cardinals,ATL,Braves,12,2,,,,,
68,4/9/16,23:15:00 GMT,MIN,Twins,KC,Royals,0,7,,,,,
69,4/9/16,00:10:00 GMT,SD,Padres,COL,Rockies,30,6,,,,,
70,4/9/16,00:10:00 GMT,CHC,Cubs,ARI,Diamondbacks,4,2,,,,,
71,4/9/16,01:05:00 GMT,TEX,Rangers,LAA,Angels,4,1,,,,,
72,4/9/16,01:10:00 GMT,OAK,Athletics,SEA,Mariners,6,1,,,,,
73,4/10/16,17:07:00 GMT,BOS,Red Sox,TOR,Blue Jays,0,3,,,,,
74,4/10/16,17:10:00 GMT,PIT,Pirates,CIN,Reds,1,2,,,,,
75,4/10/16,17:10:00 GMT,PHI,Phillies,NYM,Mets,5,2,,,,,
76,4/10/16,17:35:00 GMT,STL,Cardinals,ATL,Braves,12,7,,,,,
77,4/10/16,17:35:00 GMT,TB,Rays,BAL,Orioles,3,5,,,,,
78,4/10/16,17:35:00 GMT,MIA,Marlins,WAS,Nationals,2,4,,,,,
79,4/10/16,18:10:00 GMT,HOU,Astros,MIL,Brewers,2,3,,,,,
80,4/10/16,18:15:00 GMT,MIN,Twins,KC,Royals,3,4,,,,,
81,4/10/16,19:35:00 GMT,TEX,Rangers,LAA,Angels,1,3,,,,,
82,4/10/16,20:05:00 GMT,LAD,Dodgers,SF,Giants,6,9,,,,,
83,4/10/16,20:10:00 GMT,SD,Padres,COL,Rockies,4,6,,,,,
84,4/10/16,20:10:00 GMT,OAK,Athletics,SEA,Mariners,2,1,,,,,
85,4/10/16,20:10:00 GMT,CHC,Cubs,ARI,Diamondbacks,7,3,,,,,
86,4/11/16,17:10:00 GMT,PIT,Pirates,DET,Tigers,7,4,,,,,
87,4/11/16,18:05:00 GMT,BAL,Orioles,BOS,Red Sox,9,7,,,,,
88,4/11/16,19:05:00 GMT,SD,Padres,PHI,Phillies,4,3,,,,,
89,4/11/16,20:10:00 GMT,CWS,White Sox,MIN,Twins,4,1,,,,,
90,4/11/16,20:15:00 GMT,MIL,Brewers,STL,Cardinals,1,10,,,,,
91,4/11/16,23:05:00 GMT,ATL,Braves,WAS,Nationals,4,6,,,,,
92,4/11/16,23:10:00 GMT,MIA,Marlins,NYM,Mets,10,3,,,,,
93,4/11/16,00:05:00 GMT,CIN,Reds,CHC,Cubs,3,5,,,,,
94,4/11/16,00:10:00 GMT,KC,Royals,HOU,Astros,2,8,,,,,
95,4/11/16,02:05:00 GMT,LAA,Angels,OAK,Athletics,4,1,,,,,
96,4/11/16,02:10:00 GMT,TEX,Rangers,SEA,Mariners,7,3,,,,,
97,4/12/16,17:10:00 GMT,PIT,Pirates,DET,Tigers,2,8,,,,,
98,4/12/16,20:10:00 GMT,ARI,Diamondbacks,LAD,Dodgers,4,2,,,,,
99,4/12/16,23:05:00 GMT,ATL,Braves,WAS,Nationals,1,2,,,,,
100,4/12/16,23:05:00 GMT,SD,Padres,PHI,Phillies,0,3,,,,,
101,4/12/16,23:07:00 GMT,NYY,Yankees,TOR,Blue Jays,3,2,,,,,
102,4/12/16,23:10:00 GMT,BAL,Orioles,BOS,Red Sox,9,5,,,,,
103,4/12/16,23:10:00 GMT,CLE,Indians,TB,Rays,1,5,,,,,
104,4/12/16,23:10:00 GMT,MIA,Marlins,NYM,Mets,2,1,,,,,
105,4/12/16,00:10:00 GMT,KC,Royals,HOU,Astros,3,2,,,,,
106,4/12/16,00:40:00 GMT,SF,Giants,COL,Rockies,7,2,,,,,
107,4/12/16,02:05:00 GMT,LAA,Angels,OAK,Athletics,5,4,,,,,
108,4/12/16,02:10:00 GMT,TEX,Rangers,SEA,Mariners,8,0,,,,,
109,4/13/16,17:10:00 GMT,MIA,Marlins,NYM,Mets,1,2,,,,,
110,4/13/16,19:35:00 GMT,LAA,Angels,OAK,Athletics,5,1,,,,,
111,4/13/16,19:40:00 GMT,TEX,Rangers,SEA,Mariners,2,4,,,,,
112,4/13/16,23:05:00 GMT,DET,Tigers,PIT,Pirates,8,3,,,,,
113,4/13/16,23:05:00 GMT,SD,Padres,PHI,Phillies,1,2,,,,,
114,4/13/16,23:05:00 GMT,ATL,Braves,WAS,Nationals,0,3,,,,,
115,4/13/16,23:07:00 GMT,NYY,Yankees,TOR,Blue Jays,2,7,,,,,
116,4/13/16,23:10:00 GMT,CLE,Indians,TB,Rays,4,1,,,,,
117,4/13/16,23:10:00 GMT,BAL,Orioles,BOS,Red Sox,2,4,,,,,
118,4/13/16,00:05:00 GMT,CIN,Reds,CHC,Cubs,2,9,,,,,
119,4/13/16,00:10:00 GMT,CWS,White Sox,MIN,Twins,3,0,,,,,
120,4/13/16,00:10:00 GMT,KC,Royals,HOU,Astros,4,2,,,,,
121,4/13/16,00:15:00 GMT,MIL,Brewers,STL,Cardinals,6,4,,,,,
122,4/13/16,00:40:00 GMT,SF,Giants,COL,Rockies,6,10,,,,,
123,4/13/16,02:10:00 GMT,ARI,Diamondbacks,LAD,Dodgers,1,3,,,,,
124,4/14/16,16:35:00 GMT,DET,Tigers,PIT,Pirates,7,4,,,,,
125,4/14/16,17:05:00 GMT,SD,Padres,PHI,Phillies,0,3,,,,,
126,4/14/16,17:10:00 GMT,CLE,Indians,TB,Rays,6,0,,,,,
127,4/14/16,17:10:00 GMT,CWS,White Sox,MIN,Twins,3,1,,,,,
128,4/14/16,17:45:00 GMT,MIL,Brewers,STL,Cardinals,0,7,,,,,
129,4/14/16,19:10:00 GMT,SF,Giants,COL,Rockies,6,11,,,,,
130,4/14/16,20:05:00 GMT,ATL,Braves,WAS,Nationals,2,6,,,,,
131,4/14/16,23:07:00 GMT,NYY,Yankees,TOR,Blue Jays,2,4,,,,,
132,4/14/16,00:05:00 GMT,BAL,Orioles,TEX,Rangers,3,6,,,,,
133,4/14/16,00:05:00 GMT,CIN,Reds,CHC,Cubs,1,8,,,,,
134,4/14/16,00:10:00 GMT,KC,Royals,HOU,Astros,6,2,,,,,
135,4/14/16,02:10:00 GMT,ARI,Diamondbacks,LAD,Dodgers,2,5,,,,,
136,4/15/16,18:20:00 GMT,COL,Rockies,CHC,Cubs,6,1,,,,,
137,4/15/16,23:05:00 GMT,SEA,Mariners,NYY,Yankees,7,1,,,,,
138,4/15/16,23:05:00 GMT,MIL,Brewers,PIT,Pirates,8,4,,,,,
139,4/15/16,23:05:00 GMT,WAS,Nationals,PHI,Phillies,9,1,,,,,
140,4/15/16,23:10:00 GMT,NYM,Mets,CLE,Indians,6,5,,,,,
141,4/15/16,23:10:00 GMT,CWS,White Sox,TB,Rays,1,0,,,,,
142,4/15/16,23:10:00 GMT,ATL,Braves,MIA,Marlins,6,3,,,,,
143,4/15/16,23:10:00 GMT,TOR,Blue Jays,BOS,Red Sox,3,5,,,,,
144,4/15/16,00:05:00 GMT,BAL,Orioles,TEX,Rangers,11,5,,,,,
145,4/15/16,00:10:00 GMT,DET,Tigers,HOU,Astros,0,1,,,,,
146,4/15/16,00:10:00 GMT,LAA,Angels,MIN,Twins,4,5,,,,,
